date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,psTTM,pcfNcfTTM,pbMRQ
2024-01-02,sh.601336,31.0800,31.3400,30.8000,31.2000,31.1300,12878489,400883407.8400,3,0.617500,1,0.224900,0,12.057712,0.486268,17.657811,0.898606
2024-01-03,sh.601336,31.0200,32.1000,30.9900,31.5200,31.2000,15649095,494205614.4600,3,0.750400,1,1.025600,0,12.181381,0.491255,17.838917,0.907823
2024-01-04,sh.601336,31.4400,31.8500,30.5600,30.9500,31.5200,12195797,378604654.2900,3,0.584800,1,-1.808400,0,11.961096,0.482371,17.516322,0.891406
2024-01-05,sh.601336,30.7100,31.5500,30.6800,30.8800,30.9500,12101060,376442709.0900,3,0.580300,1,-0.226200,0,11.934043,0.481280,17.476705,0.889390
2024-01-08,sh.601336,30.8300,30.9800,29.9400,30.1700,30.8800,12716948,385545487.1900,3,0.609800,1,-2.299200,0,11.659653,0.470214,17.074877,0.868941
2024-01-09,sh.601336,30.3000,30.3800,29.7000,29.8500,30.1700,7883505,235869442.2200,3,0.378000,1,-1.060700,0,11.535984,0.465227,16.893771,0.859724
2024-01-10,sh.601336,29.8000,29.8300,29.2200,29.2800,29.8500,8407562,247724534.9200,3,0.403200,1,-1.909500,0,11.315699,0.456343,16.571176,0.843308
2024-01-11,sh.601336,29.2000,29.5100,28.8100,29.2400,29.2800,11120231,324375467.4400,3,0.533200,1,-0.136600,0,11.300241,0.455720,16.548538,0.842155
2024-01-12,sh.601336,29.0100,29.1000,28.3000,28.5900,29.2400,11753693,337013167.9700,3,0.563600,1,-2.223000,0,11.049038,0.445589,16.180667,0.823434
2024-01-15,sh.601336,28.2900,28.9000,27.9400,28.5200,28.5900,8461218,239973977.6700,3,0.405700,1,-0.244800,0,11.021986,0.444498,16.141050,0.821418
2024-01-16,sh.601336,28.3800,29.3900,28.3600,29.3200,28.5200,12138255,351927264.7700,3,0.582000,1,2.805000,0,11.331158,0.456967,16.593815,0.844460
2024-01-17,sh.601336,29.1000,29.3100,28.7100,28.7900,29.3200,8885345,257649712.9900,3,0.426100,1,-1.807600,0,11.126331,0.448707,16.293858,0.829195
2024-01-18,sh.601336,28.5500,29.1700,27.9200,29.0900,28.7900,15891558,452796810.9300,3,0.762000,1,1.042000,0,11.242271,0.453382,16.463645,0.837835
2024-01-19,sh.601336,28.8900,29.0700,28.4500,28.8300,29.0900,10530078,303019530.4100,3,0.504900,1,-0.893800,0,11.141790,0.449330,16.316496,0.830347
2024-01-22,sh.601336,28.8000,29.1800,28.0200,28.2500,28.8300,14333590,411885841.0200,3,0.687300,1,-2.011800,0,10.917640,0.440290,15.988242,0.813642
2024-01-23,sh.601336,28.0500,28.5000,27.3500,28.2000,28.2500,12241310,342093041.7400,3,0.587000,1,-0.177000,0,10.898317,0.439511,15.959945,0.812202
2024-01-24,sh.601336,28.2100,29.7500,28.0200,29.4900,28.2000,21109454,609412174.0300,3,1.012200,1,4.574500,0,11.396857,0.459616,16.690027,0.849356
2024-01-25,sh.601336,29.3000,31.4400,29.1500,31.2200,29.4900,29617946,902948003.5000,3,1.420200,1,5.866400,0,12.065442,0.486579,17.669130,0.899182
2024-01-26,sh.601336,31.1000,31.6900,30.8100,31.3700,31.2200,18455202,576243395.3300,3,0.885000,1,0.480500,0,12.123411,0.488917,17.754023,0.903503
2024-01-29,sh.601336,31.3700,32.1500,31.0300,31.2700,31.3700,22088317,696698398.3200,3,1.059200,1,-0.318800,0,12.084765,0.487359,17.697428,0.900622
2024-01-30,sh.601336,30.8100,31.1300,30.1300,30.2100,31.2700,20003509,611567113.8700,3,0.959200,1,-3.389800,0,11.675112,0.470838,17.097515,0.870093
2024-01-31,sh.601336,30.2000,31.3000,29.8200,30.6000,30.2100,21141768,645394232.2300,3,1.013800,1,1.291000,0,11.825833,0.476916,17.318238,0.881325
2024-02-01,sh.601336,30.3300,30.3800,29.5100,29.6400,30.6000,18787345,562997105.0000,3,0.900900,1,-3.137300,0,11.454827,0.461954,16.774920,0.853676
2024-02-02,sh.601336,29.6500,29.9500,28.3900,29.2000,29.6400,16408334,481819131.9800,3,0.786800,1,-1.484500,0,11.284782,0.455097,16.525900,0.841003
2024-02-05,sh.601336,28.7900,29.5800,28.0400,29.0000,29.2000,16894018,487725226.4400,3,0.810100,1,-0.684900,0,11.207489,0.451979,16.412709,0.835243
2024-02-06,sh.601336,29.0000,30.2100,28.0400,30.0500,29.0000,24487215,712587904.2300,3,1.174200,1,3.620700,0,11.613277,0.468344,17.006962,0.865485
2024-02-07,sh.601336,30.0300,30.3700,29.6500,30.3700,30.0500,21840157,656516638.4100,3,1.047300,1,1.064900,0,11.736946,0.473332,17.188068,0.874701
2024-02-08,sh.601336,30.7000,31.0500,30.1100,30.5900,30.3700,22720002,694207576.4500,3,1.089500,1,0.724400,0,11.821969,0.476760,17.312578,0.881037
2024-02-19,sh.601336,30.7500,31.2500,30.4700,31.1900,30.5900,18693048,576599894.2200,3,0.896400,1,1.961400,0,12.053848,0.486112,17.652151,0.898318
2024-02-20,sh.601336,30.9000,31.2000,30.6400,31.0500,31.1900,13828766,427559468.7500,3,0.663100,1,-0.448900,0,11.999743,0.483930,17.572918,0.894286
2024-02-21,sh.601336,30.8000,34.1600,30.6800,33.0000,31.0500,38646478,1265761629.3200,3,1.853200,1,6.280200,0,12.753350,0.514321,18.676531,0.950449
2024-02-22,sh.601336,32.6000,33.8200,32.5000,33.8200,33.0000,26367447,877799712.8500,3,1.264400,1,2.484800,0,13.070251,0.527102,19.140614,0.974066
2024-02-23,sh.601336,33.8000,34.4000,33.5500,33.7300,33.8200,19923238,673959719.6600,3,0.955300,1,-0.266100,0,13.035469,0.525699,19.089678,0.971474
2024-02-26,sh.601336,33.4500,33.6000,32.6500,32.7200,33.7300,16198356,535084208.0800,3,0.776700,1,-2.994400,0,12.645139,0.509958,18.518063,0.942385
2024-02-27,sh.601336,32.6000,32.9200,32.4000,32.9200,32.7200,15511964,505512901.8700,3,0.743800,1,0.611200,0,12.722432,0.513075,18.631254,0.948145
2024-02-28,sh.601336,32.9800,33.4400,32.2100,32.2500,32.9200,21246996,697809096.2200,3,1.018800,1,-2.035200,0,12.463501,0.502632,18.252064,0.928848
2024-02-29,sh.601336,32.0000,32.8000,31.9400,32.8000,32.2500,14217262,461015626.2800,3,0.681700,1,1.705400,0,12.676057,0.511204,18.563340,0.944689
2024-03-01,sh.601336,32.5900,33.1900,32.2400,33.1500,32.8000,19274504,630802513.6900,3,0.924200,1,1.067100,0,12.811319,0.516659,18.761424,0.954769
2024-03-04,sh.601336,32.5300,32.5300,31.3100,31.6900,33.1500,31328923,993774895.4400,3,1.502300,1,-4.404200,0,12.247080,0.493904,17.935129,0.912719
2024-03-05,sh.601336,31.4700,31.9300,31.2500,31.9100,31.6900,24080414,761105744.6100,3,1.154700,1,0.694200,0,12.332103,0.497333,18.059639,0.919055
2024-03-06,sh.601336,31.6800,31.9100,31.4300,31.6000,31.9100,13982703,442050518.3500,3,0.670500,1,-0.971500,0,12.212298,0.492502,17.884193,0.910127
2024-03-07,sh.601336,31.6500,32.0300,31.2700,31.3600,31.6000,16869652,534491395.8200,3,0.808900,1,-0.759500,0,12.119547,0.488761,17.748364,0.903215
2024-03-08,sh.601336,31.3000,31.4600,30.8600,31.4400,31.3600,14137432,440522127.3600,3,0.677900,1,0.255100,0,12.150464,0.490008,17.793640,0.905519
2024-03-11,sh.601336,31.4000,32.0400,31.3400,31.9800,31.4400,16122769,513043936.0000,3,0.773100,1,1.717600,0,12.359155,0.498424,18.099256,0.921072
2024-03-12,sh.601336,31.9800,32.5900,31.7600,32.3200,31.9800,20525111,659731866.3100,3,0.984200,1,1.063200,0,12.490553,0.503723,18.291681,0.930864
2024-03-13,sh.601336,32.2100,32.2800,30.9100,30.9700,32.3200,30822323,961669775.2500,3,1.478000,1,-4.177000,0,11.968825,0.482683,17.527641,0.891982
2024-03-14,sh.601336,30.7500,31.1800,30.6000,30.8700,30.9700,12303269,379696155.8200,3,0.590000,1,-0.322900,0,11.930179,0.481124,17.471046,0.889102
2024-03-15,sh.601336,30.8000,30.9200,30.5800,30.8300,30.8700,10058207,309102201.0900,3,0.482300,1,-0.129600,0,11.914720,0.480501,17.448407,0.887950
2024-03-18,sh.601336,30.9000,31.3700,30.7400,31.3500,30.8300,13734409,427725319.0200,3,0.658600,1,1.686700,0,12.115682,0.488605,17.742704,0.902927
2024-03-19,sh.601336,31.2100,31.5900,31.0000,31.0300,31.3500,11877986,370975562.0900,3,0.569600,1,-1.020700,0,11.992013,0.483618,17.561599,0.893710
2024-03-20,sh.601336,31.0000,31.4500,30.9500,31.4000,31.0300,10128225,316314493.4500,3,0.485700,1,1.192400,0,12.135005,0.489385,17.771002,0.904367
2024-03-21,sh.601336,31.4500,32.1000,31.1700,31.5100,31.4000,15621721,494745915.0400,3,0.749100,1,0.350300,0,12.177517,0.491099,17.833257,0.907535
2024-03-22,sh.601336,31.1000,31.1700,30.3300,30.6000,31.5100,15170586,465587612.4800,3,0.727500,1,-2.888000,0,11.825833,0.476916,17.318238,0.881325
2024-03-25,sh.601336,30.2200,30.7500,30.1500,30.2800,30.6000,8072909,245792177.3700,3,0.387100,1,-1.045800,0,11.702164,0.471929,17.137132,0.872109
