date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,psTTM,pcfNcfTTM,pbMRQ
2024-01-02,sz.300496,80.0600,80.6000,78.0800,78.1000,80.0600,3149207,248468581.8900,3,0.858700,1,-2.448200,0,48.824316,6.569431,-264.730553,3.740042
2024-01-03,sz.300496,77.7000,77.7700,75.6000,76.0800,78.1000,3838007,293277984.1500,3,1.046500,1,-2.586400,0,47.567125,6.400273,-257.913932,3.643738
2024-01-04,sz.300496,75.6300,76.3800,72.9800,73.2400,76.0800,5476167,404667393.1300,3,1.493200,1,-3.732900,0,45.786081,6.160629,-248.256923,3.507307
2024-01-05,sz.300496,73.6800,74.3500,71.0000,71.8200,73.2400,5577720,405349852.0900,3,1.520800,1,-1.938800,0,44.898366,6.041185,-243.443640,3.439306
2024-01-08,sz.300496,71.8200,71.8300,69.5000,69.7000,71.8200,5895560,414063797.9200,3,1.607500,1,-2.951800,0,43.573045,5.862859,-236.257613,3.337784
2024-01-09,sz.300496,70.0900,70.7000,68.3000,69.0000,69.7000,5088252,352718961.6900,3,1.387400,1,-1.004300,0,43.135439,5.803978,-233.884868,3.304262
2024-01-10,sz.300496,69.0500,69.1400,66.4900,66.6000,69.0000,9177676,617939374.1500,3,2.502400,1,-3.478300,0,41.635076,5.602101,-225.749742,3.189331
2024-01-11,sz.300496,66.6100,68.1000,66.1600,67.2000,66.6000,9463193,635716260.8900,3,2.580300,1,0.900900,0,42.010167,5.652570,-227.783523,3.218064
2024-01-12,sz.300496,67.1500,67.4500,65.6900,65.9200,67.2000,6887472,456842897.2200,3,1.878000,1,-1.904800,0,41.209973,5.544902,-223.444789,3.156768
2024-01-15,sz.300496,65.3500,65.8800,64.1000,64.8500,65.9200,7026913,456628459.4700,3,1.916000,1,-1.623200,0,40.541061,5.454899,-219.817879,3.105528
2024-01-16,sz.300496,64.8800,64.9100,63.0600,63.9100,64.8500,9742770,621236500.7600,3,2.656500,1,-1.449500,0,39.953419,5.375830,-216.631622,3.060513
2024-01-17,sz.300496,63.8000,64.1000,62.0000,62.0200,63.9100,6427937,405316641.9300,3,1.752700,1,-2.957300,0,38.771883,5.216851,-210.225210,2.970005
2024-01-18,sz.300496,62.1500,62.8000,60.7500,62.7400,62.0200,10289895,636008813.2200,3,2.805700,1,1.160900,0,39.221992,5.277415,-212.665748,3.004484
2024-01-19,sz.300496,62.6000,62.6400,60.1900,60.2500,62.7400,10260532,625359555.8400,3,2.797700,1,-3.968800,0,37.665365,5.067967,-204.225555,2.885243
2024-01-22,sz.300496,60.2200,60.7000,57.2100,57.5000,60.2500,11193086,659099415.6400,3,3.052000,1,-4.564300,0,35.946199,4.836649,-194.904056,2.753552
2024-01-23,sz.300496,57.5000,58.9500,56.5000,57.9300,57.5000,9029104,522885241.5700,3,2.461900,1,0.747800,0,36.215014,4.872818,-196.361600,2.774144
2024-01-24,sz.300496,58.1800,58.4000,55.2000,57.4800,57.9300,11059653,626081572.0200,3,3.015600,1,-0.776800,0,35.937938,4.835537,-194.859264,2.752919
2024-01-25,sz.300496,57.7600,59.1900,56.4500,58.8200,57.4800,10983315,640122411.6200,3,2.994800,1,2.331200,0,36.771399,4.947681,-199.378376,2.816764
2024-01-26,sz.300496,58.4900,58.4900,56.3300,56.3500,58.8200,9735604,555812809.5400,3,2.654600,1,-4.199300,0,35.227275,4.739916,-191.005975,2.698481
2024-01-29,sz.300496,56.3600,57.0800,54.6000,54.6200,56.3500,8799848,487858119.1200,3,2.399400,1,-3.070100,0,34.145764,4.594396,-185.141905,2.615635
2024-01-30,sz.300496,53.7000,56.5300,52.7800,52.9700,54.6200,8309845,446719259.3000,3,2.265800,1,-3.020900,0,33.114264,4.455605,-179.549006,2.536620
2024-01-31,sz.300496,52.4100,52.8800,50.0300,50.0800,52.9700,10975922,561428366.6300,3,2.992700,1,-5.455900,0,31.307577,4.212511,-169.752959,2.398224
2024-02-01,sz.300496,49.9000,51.8500,49.0800,50.4100,50.0800,10057574,507355521.5300,3,2.742300,1,0.658900,0,31.513877,4.240269,-170.871539,2.414027
2024-02-02,sz.300496,50.5000,51.0100,45.7000,47.8600,50.4100,12764676,616388734.6400,3,3.480500,1,-5.058500,0,29.919741,4.025774,-162.227968,2.291913
2024-02-05,sz.300496,47.6400,47.8700,43.5500,45.4300,47.8600,15722370,717989450.5000,3,4.286900,1,-5.077300,0,28.403976,3.821824,-154.009331,2.175802
2024-02-06,sz.300496,45.3000,49.4000,44.5700,48.8100,45.4300,13845866,656344450.8600,3,3.775300,1,7.440000,0,30.513635,4.105684,-165.448122,2.337406
2024-02-07,sz.300496,48.8000,51.0800,48.5000,50.0700,48.8100,15302513,768451904.5700,3,4.172500,1,2.581400,0,31.301325,4.211670,-169.719063,2.397745
2024-02-08,sz.300496,50.7500,52.9000,50.1200,52.7900,50.0700,14928134,773643668.3700,3,4.070400,1,5.432400,0,33.001737,4.440464,-178.938872,2.528000
2024-02-19,sz.300496,55.5000,55.5500,52.8000,54.6400,52.7900,22625984,1229590054.7300,3,6.167700,1,3.504500,0,34.165507,4.597052,-185.248959,2.617147
2024-02-20,sz.300496,53.3100,53.9400,51.9100,53.8000,54.6400,13437659,712128263.7100,3,3.663000,1,-1.537300,0,33.640269,4.526380,-182.401061,2.576913
2024-02-21,sz.300496,52.6700,55.9300,52.5200,53.9400,53.8000,14938001,812889175.5400,3,4.072000,1,0.260200,0,33.727809,4.538159,-182.875711,2.583619
2024-02-22,sz.300496,54.4000,56.3900,54.1100,56.2600,53.9400,14758081,822251881.3000,3,4.022900,1,4.301100,0,35.178467,4.733349,-190.741333,2.694742
2024-02-23,sz.300496,57.0300,57.2800,55.2500,56.9200,56.2600,14869325,834543156.9300,3,4.053300,1,1.173100,0,35.591155,4.788877,-192.978967,2.726355
2024-02-26,sz.300496,57.1200,59.3500,56.4800,58.4300,56.9200,19415413,1133715687.8900,3,5.292500,1,2.652800,0,36.535333,4.915918,-198.098402,2.798681
2024-02-27,sz.300496,57.6700,60.9000,57.2600,60.8200,58.4300,18793737,1110444702.9600,3,5.123000,1,4.090400,0,38.029761,5.116997,-206.201348,2.913157
2024-02-28,sz.300496,61.7800,63.3500,57.6000,57.6300,60.8200,25567995,1556682464.1600,3,6.969600,1,-5.245000,0,36.035106,4.848611,-195.386118,2.760362
2024-02-29,sz.300496,57.0000,61.4000,56.9100,60.6600,57.6300,20020213,1194768253.7200,3,5.457400,1,5.257700,0,37.929716,5.103536,-205.658892,2.905493
2024-03-01,sz.300496,60.8800,63.0000,60.4000,62.7800,60.6600,20555691,1270386937.3800,3,5.603300,1,3.494900,0,39.255318,5.281899,-212.846443,3.007037
2024-03-04,sz.300496,64.6900,65.4500,62.0300,63.4100,62.7800,22411914,1424493262.4000,3,6.109300,1,1.003500,0,39.649247,5.334903,-214.982366,3.037213
